repository,file_path,job_categorized,step,committed_date,from_state,to_state,time_to_next_days,from_commit_hash,to_commit_hash,why,extended_action,why_refine,,
rails_event_store,.github/workflows/ruby_event_store-outbox.yml,test,<step_2>,2020-12-23 10:05,updating_parameter,adding_parameter,769.4257523,92dc137f8b0da921afcf7b80c15c19de702be6b8,f64ad6f3290d66e610812b477b24d47d7309e468,adopting new cache,add,others,,
aepp-sdk-js,.github/workflows/main.yml,other,<step_10>,2021-09-30 5:17,removing_cache,adding_parameter,173.2337037,213abc33c4e1138c589e681d7606ad7b1619c71e,996dc2980cf939f33a345d42998a24c5a70e7f01,adopting new cache,add,migration,,
aepp-sdk-js,.github/workflows/docs-release.yml,other,<step_3>,2023-07-07 16:51,adding_cache,adding_parameter,0,428ebe63feac93c000d3303c12fb7b043ff04c8b,428ebe63feac93c000d3303c12fb7b043ff04c8b,adopting new cache,add,others,,
helmwave,.github/workflows/go-lint.yml,lint,<step_1>,2024-06-06 17:11,cache_version_update,adding_parameter,0,454b346952fe6a5925b783ab12d6f14c77d4d477,454b346952fe6a5925b783ab12d6f14c77d4d477,fixing_caching,add,updating_dependency,,
aepp-sdk-js,.github/workflows/main.yml,other,<step_2>,2023-04-08 4:45,cache_version_update,adding_parameter,0,79a2c5a2b49d11d4d3dfb11d51b0d01e1296aa71,79a2c5a2b49d11d4d3dfb11d51b0d01e1296aa71,adopting new cache,add,others,,
DeepSpeech,.github/workflows/macOS-amd64.yml,test,<step_5>,2021-04-15 16:32,adding_cache,adding_parameter,0,673c5a1f4f9ebc460350b99a4e8ebf1d07d575f2,673c5a1f4f9ebc460350b99a4e8ebf1d07d575f2,adopting new cache,add,improve_cache,,
aepp-sdk-js,.github/workflows/docs-develop.yml,other,<step_2>,2023-07-07 16:51,cache_version_update,adding_parameter,0,428ebe63feac93c000d3303c12fb7b043ff04c8b,428ebe63feac93c000d3303c12fb7b043ff04c8b,adopting new cache,add,improve_cache,,
DeepSpeech,.github/workflows/macOS-amd64.yml,test,<step_5>,2021-04-15 16:32,adding_parameter,adding_parameter,0,673c5a1f4f9ebc460350b99a4e8ebf1d07d575f2,673c5a1f4f9ebc460350b99a4e8ebf1d07d575f2,adopting new cache,add,improve_cache,,
DeepSpeech,.github/workflows/macOS-amd64.yml,test,<step_5>,2021-04-15 16:32,adding_cache,adding_parameter,0,673c5a1f4f9ebc460350b99a4e8ebf1d07d575f2,673c5a1f4f9ebc460350b99a4e8ebf1d07d575f2,adopting new cache,add,improve_cache,,
nodejs-ko,.github/workflows/push.yml,build,<step_2>,2019-12-05 5:58,enable_cache,adding_parameter,0,ebf578a976938900c3a0d87e2e3aa941d0949069,ebf578a976938900c3a0d87e2e3aa941d0949069,adopting new cache,add,updating_dependency,,
rails_event_store,.github/workflows/ruby_event_store-sidekiq_scheduler.yml,sync,<step_2>,2023-01-31 20:18,removing_cache,adding_parameter,0,2132d45ebc45ab3b0b4ebef5eb5c7b89d71d0db8,414eb31bb187f638dd4756cd3fdeca2df915a556,fixing_caching,add,improve_cache,,
DeepSpeech,.github/workflows/macOS-amd64.yml,build,<step_7>,2021-04-12 16:34,updating_parameter,adding_parameter,2.99875,f6becabc28ba87772ded65cbdd4756938061867b,673c5a1f4f9ebc460350b99a4e8ebf1d07d575f2,adopting new cache,add,improve_cache,,
DeepSpeech,.github/workflows/macOS-amd64.yml,other,<step_2>,2021-03-30 14:55,adding_cache,adding_parameter,0,e0e775a0cb61dd6c1e7d0480480f1f6f2d3ff568,e0e775a0cb61dd6c1e7d0480480f1f6f2d3ff568,adopting new cache,add,migration,,
hcloud-cloud-controller-manager,.github/workflows/ci.yml,test,<step_0>,2023-11-06 9:08,cache_version_update,adding_parameter,0,7dcfc0d94c32120bccf7ea2d700616642fbf1733,7dcfc0d94c32120bccf7ea2d700616642fbf1733,fixing_caching,add,clean_up,,
nodejs-ko,.github/workflows/push.yml,build,<step_2>,2019-12-05 5:58,adding_parameter,adding_parameter,0,ebf578a976938900c3a0d87e2e3aa941d0949069,ebf578a976938900c3a0d87e2e3aa941d0949069,adopting new cache,add,updating_dependency,,
DeepSpeech,.github/workflows/macOS-amd64.yml,test,<step_5>,2021-04-15 16:32,adding_cache,adding_parameter,0,673c5a1f4f9ebc460350b99a4e8ebf1d07d575f2,673c5a1f4f9ebc460350b99a4e8ebf1d07d575f2,adopting new cache,add,improve_cache,,
aepp-sdk-js,.github/workflows/main.yml,other,<step_10>,2024-07-18 8:33,removing_parameter,adding_parameter,94.20696759,8cf3b9f93bdfeb808130fc2b97fd043bb69fb539,3d74f53a0fc06f6f5259354da6128603c99e3f88,adopting new cache,add,others,,
react-inspector,.github/workflows/tests-unit.yml,build,Cache node modules,2020-03-10 14:43,enable_cache,adding_parameter,0.003171296,9b78d7e7bd84f263296f4787d85adb847335b414,5aa36d10d4672f789674c8d4d5402ed366646b22,fixing_caching,add,fix_caching_issues,,use example
