repository,file_path,job_categorized,step,committed_date,from_state,to_state,time_to_next_days,from_commit_hash,to_commit_hash
rails_event_store,.github/workflows/coverage.yml,other,<step_1>,2020-12-11 16:29:08,adding_cache,removing_parameter,3.2667824074074074,53ccdeeb49c0d52cca41d0b20bbe582079ee39f7,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09
rails_event_store,.github/workflows/rails_event_store_active_record.yml,integration,<step_1>,2020-12-09 02:10:47,updating_parameter,removing_parameter,5.862858796296297,e01a142f30a50e02b17f65cf77a2784c1c823b37,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09
hcloud-cloud-controller-manager,.github/workflows/test_e2e.yml,other,<step_0>,2024-05-31 09:32:19,cache_version_update,removing_parameter,0.0,77438db86dd32a2638377751f3e1e73272b1704e,77438db86dd32a2638377751f3e1e73272b1704e
feast,.github/workflows/nightly-ci.yml,build,Cache Public ECR Image,2024-06-13 02:18:39,removing_cache,removing_parameter,0.0,d1e3e447d5e139840e88a32e87a04b92ebca98a1,d1e3e447d5e139840e88a32e87a04b92ebca98a1
rails_event_store,.github/workflows/rails_event_store.yml,sync,<step_1>,2020-12-14 22:53:18,removing_cache,removing_parameter,0.0,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09
acl,.github/workflows/build_pull_request.yml,build,Cache emsdk,2022-06-26 17:24:10,removing_cache,removing_parameter,0.0,395f44c35a9037cce80176297da31cbd1170ab70,395f44c35a9037cce80176297da31cbd1170ab70
rails_event_store,.github/workflows/ruby_event_store.yml,sync,<step_1>,2020-12-14 22:53:18,removing_cache,removing_parameter,0.0,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09
wallet-contracts,.github/workflows/ci.yml,other,<step_2>,2024-02-27 02:38:27,removing_cache,removing_parameter,0.0,f1981eb9a1fb347ff0be3b643dd0931310b484ab,f1981eb9a1fb347ff0be3b643dd0931310b484ab
rails_event_store,.github/workflows/rails_event_store.yml,test,<step_1>,2020-12-14 22:53:18,removing_cache,removing_parameter,0.0,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09
rails_event_store,.github/workflows/bounded_context.yml,sync,<step_1>,2020-12-14 22:53:18,removing_cache,removing_parameter,0.0,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09
rails_event_store,.github/workflows/ruby_event_store-sidekiq_scheduler.yml,test,<step_2>,2021-01-23 10:59:17,enable_cache,removing_parameter,738.3885763888889,b8456361f27a7895044a75f05fe3028147daef17,2132d45ebc45ab3b0b4ebef5eb5c7b89d71d0db8
rails_event_store,.github/workflows/coverage.yml,other,<step_1>,2020-12-14 22:53:18,removing_parameter,removing_parameter,0.0,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09
hcloud-cloud-controller-manager,.github/workflows/ci.yml,lint,<step_0>,2023-11-06 09:08:06,cache_version_update,removing_parameter,0.0,7dcfc0d94c32120bccf7ea2d700616642fbf1733,7dcfc0d94c32120bccf7ea2d700616642fbf1733
