repository,file_path,job_categorized,step,committed_date,from_state,to_state,time_to_next_days,from_commit_hash,to_commit_hash,why,extended_action,why_refine,
buildkit,.github/workflows/test-os.yml,test,Set up Go,2023-02-16 14:35,enable_cache,adding_cache,166.7753241,90edc059b9c93e6428b7665523fcbcd5f27ee463,408e43248f0f37b2fd6b3600b058376d4545e36e,extending_cache,add,extending_cache,
rails_event_store,.github/workflows/rails_event_store_active_record.yml,integration,<step_1>,2020-12-14 22:53,removing_cache,adding_cache,0,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09,extending_cache,add,others,
figma-plugin,.github/workflows/node.js.yml,analyze,Cache node modules,2023-03-19 9:15,removing_cache,adding_cache,3.504768519,5bb4a1d6ba4738a1e0a6e96f8176ebc7144dc943,270bb1f2508aa77cfcadaadbaf7670e19138d321,fixing_security,add,fix_security_issue,
feast,.github/workflows/java_master_only.yml,test,<step_3>,2024-12-19 13:20,cache_version_update,adding_cache,104.9793287,1119439c49bc90e62f02da078901509c1d740236,cc1fcad500ca610812be3faa814f97d77f5b76d2,replacing_cache,add,others,
yomo,.github/workflows/release.yaml,build,Set up Go ${{ env.GOVER }},2023-04-15 5:02,removing_cache,adding_cache,0,63e9cead0fef691eb1a4c0eb4ad5f0e1972e899e,63e9cead0fef691eb1a4c0eb4ad5f0e1972e899e,fixing_cache,add,improve_cache,use example
DeepSpeech,.github/workflows/build-and-test.yml,test,<step_5>,2021-04-28 8:51,adding_cache,adding_cache,0,280f2724311575eef21e94a3470d76d5b977058d,280f2724311575eef21e94a3470d76d5b977058d,extending_cache,add,extending_cache,
rails_event_store,.github/workflows/rails_event_store-rspec.yml,test,<step_1>,2020-12-14 22:53,removing_cache,adding_cache,0,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09,extending_cache,add,others,
LCUI,.github/workflows/ccpp.yml,build,Cache xmake packages,2023-04-30 8:55,adding_cache,adding_cache,0,9ad372595a23734ccac0c9c633f41f95f1ce4cef,9ad372595a23734ccac0c9c633f41f95f1ce4cef,replacing_cache,add,others,
Moviesy,.github/workflows/build.yml,build,<step_6>,2021-08-16 12:38,removing_cache,adding_cache,0,cd14823dae18b4fed102cc5847c651e260ba9447,cd14823dae18b4fed102cc5847c651e260ba9447,extending_cache,add,others,
ember-osf-web,.github/workflows/CI.yml,test,<step_3>,2021-06-02 15:50,updating_parameter,adding_cache,71.15114583,59a18aed38fa151232735688bfe545062f756d4a,775033847748d995f53f8009ef32d27b61825ab1,replacing_cache,add,extending_cache,
