owner_repo,repository,language,topics,stars,forks,watchers,contributors,commits,first_commit,last_commit,pull_requests,issues,created_at,pushed_at,license,archived,disabled
AcademySoftwareFoundation/openexr,openexr,C,"academy, hdr, image-processing, images, openexr, vfx",1706,650,134,175,2684,2003-01-21 06:34:28+00:00,2025-04-12 21:48:39-07:00,1388,434,2012-02-24T06:30:00Z,2025-06-30T05:11:44Z,"BSD 3-Clause ""New"" or ""Revised"" License",False,False
webextension-toolbox/webextension-toolbox,webextension-toolbox,TypeScript,"auto, chrome, chrome-extension, cli-toolbox, edge, edge-extension, firefox, firefox-extension, opera-extension, webextension, webextension-toolbox, webpack",760,70,11,29,581,2018-01-06 16:29:58+01:00,2025-04-18 17:36:27-07:00,1034,82,2018-01-04T18:24:25Z,2025-06-23T12:50:11Z,MIT License,False,False
jens-maus/RaspberryMatic,RaspberryMatic,JavaScript,"buildroot, ccu, ccu3, docker, elv-charly, embedded-devices, esxi, home-automation, homeassistant, homematic, homematicip, iot, kubernetes, linux, operating-system, raspberrymatic, raspberrypi, smarthome, tinkerboard, virtual-appliance",1647,195,111,56,6411,2016-06-22 15:33:04+02:00,2025-05-15 12:08:28+02:00,469,1772,2016-06-22T13:33:04Z,2025-07-09T18:17:35Z,Apache License 2.0,False,False
zhiqwang/yolov5-rt-stack,yolov5-rt-stack,Python,"deployment, detection, graghsurgeon, inference, jit, libtorch, lightning, ncnn, nms, onnx, onnxruntime, pytorch, tensorrt, torchscript, trt, tvm, visualization, yolo, yolort, yolov5",731,151,14,37,433,2020-08-14 08:01:06-04:00,2024-01-02 19:55:20+08:00,0,0,2020-08-14T11:31:00Z,2025-06-23T18:34:47Z,GNU General Public License v3.0,False,False
palantir/python-language-server,python-language-server,Python,octo-correct-managed,2650,285,312,78,318,2017-01-04 11:13:39+00:00,2024-09-19 16:07:35+01:00,382,368,2017-01-12T23:50:10Z,2024-12-13T18:31:23Z,MIT License,False,False
apache/incubator-tuweni,incubator-tuweni,Java,"blockchain, crypto, decentralized, ethereum, securescuttlebutt, tuweni",172,84,15,33,1492,2019-04-02 15:22:24-04:00,2023-05-29 00:12:16-07:00,435,118,2019-03-29T19:02:36Z,2023-07-21T03:00:26Z,Apache License 2.0,True,False
gomods/athens,athens,Go,"athens, dependencies, dependency-manager, go, go-modules, golang, goproxy, package-control, package-manager, proxy, proxy-server",4591,522,95,228,1054,2018-02-25 12:19:42-08:00,2025-05-14 13:38:07+02:00,1143,680,2018-02-25T20:19:41Z,2025-07-08T08:00:59Z,MIT License,False,False
pubkey/rxdb,rxdb,TypeScript,"angular, browser-database, couchdb, crdt, database, firebase, graphql, indexeddb, ionic, local-first, localstorage, nodejs, nosql, pouchdb, react-native, realtime, realtime-database, rxdb, rxjs, sqlite",22486,1121,206,272,12747,2016-12-02 20:40:32+01:00,2025-05-15 22:35:51+00:00,6269,785,2016-12-02T19:34:42Z,2025-07-09T19:04:20Z,Apache License 2.0,False,False
electron/forge,forge,TypeScript,"build, electron, hacktoberfest, javascript, linux, macos, package, typescript, webpack, windows",6777,578,76,126,3250,2016-10-06 01:42:02+11:00,2025-05-15 05:43:23+00:00,2387,1294,2016-10-05T14:51:53Z,2025-07-07T22:16:59Z,MIT License,False,False
sysgears/webpack-virtual-modules,webpack-virtual-modules,TypeScript,"modules, overlay, virtual, webpack, webpack-plugin",516,43,19,21,125,2017-03-27 11:12:09+03:00,2025-04-08 20:58:36+03:00,144,39,2017-03-27T08:12:09Z,2025-04-08T17:58:36Z,MIT License,False,False
